lat;
51.500000;-0.130000
51.500000;-0.130000
38.000000;-97.000000
38.000000;-97.000000
42.362598;-71.084297
42.362598;-71.084297
42.362598;-71.084297
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
50.116699;8.683300
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
42.362598;-71.084297
42.362598;-71.084297
42.362598;-71.084297
51.500000;-0.130000
38.984100;-77.382698
38.984100;-77.382698
38.984100;-77.382698
38.984100;-77.382698
38.984100;-77.382698
51.500000;-0.130000
38.984100;-77.382698
38.984100;-77.382698
38.984100;-77.382698
38.984100;-77.382698
38.984100;-77.382698
50.116699;8.683300
50.116699;8.683300
50.116699;8.683300
50.116699;8.683300
50.116699;8.683300
50.116699;8.683300
37.769699;-122.393303
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
50.116699;8.683300
50.116699;8.683300
50.116699;8.683300
50.116699;8.683300
50.116699;8.683300
50.116699;8.683300
37.769699;-122.393303
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
30.293600;120.161400
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
51.500000;-0.130000
30.293600;120.161400
30.293600;120.161400
30.293600;120.161400
51.500000;-0.130000
30.293600;120.161400
51.500000;-0.130000
30.293600;120.161400
22.250000;114.166702
22.250000;114.166702
22.250000;114.166702
22.250000;114.166702
22.250000;114.166702
22.250000;114.166702
22.250000;114.166702
31.045601;121.399696
22.533300;114.133301
37.515499;-121.896202
31.045601;121.399696
22.533300;114.133301
37.515499;-121.896202
22.533300;114.133301
23.116699;113.250000
23.116699;113.250000
23.116699;113.250000
22.533300;114.133301
23.116699;113.250000
23.116699;113.250000
23.116699;113.250000
37.515499;-121.896202
37.515499;-121.896202
37.515499;-121.896202
37.515499;-121.896202
39.142200;117.176697
39.142200;117.176697
39.142200;117.176697
39.142200;117.176697
22.533300;114.133301
22.533300;114.133301
22.533300;114.133301
22.533300;114.133301

